                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 3.1178,                0.48439,                0.11938,                0.60553,                0.45722,                0.47824,                0.28562,                 2.6835,                 0.5526,                0.06378,                 0.0001,                 0.0001,                 0.0001
                     48,                 3.0996,                0.48689,                 0.1133,                0.60514,                0.45988,                0.48007,                0.28752,                 2.6823,                0.55205,                0.06371,                 0.0001,                 0.0001,                 0.0001
                     49,                 3.0981,                0.48849,                0.11251,                0.60652,                0.46273,                0.48169,                0.28912,                 2.6812,                0.55152,                 0.0637,                 0.0001,                 0.0001,                 0.0001
                     50,                 3.1262,                0.48213,                 0.1188,                0.60958,                0.46432,                0.48369,                 0.2902,                 2.6505,                0.55162,                0.06342,                 0.0001,                 0.0001,                 0.0001
                     51,                 3.1124,                0.48464,                0.11786,                0.60792,                0.46739,                0.48582,                0.29145,                 2.6502,                0.55073,                0.06343,                 0.0001,                 0.0001,                 0.0001
                     52,                 3.1114,                0.48463,                0.11601,                0.61066,                0.46735,                0.48873,                0.29351,                 2.6493,                0.54995,                0.06322,                 0.0001,                 0.0001,                 0.0001
                     53,                 3.1018,                0.48471,                0.11477,                0.61701,                 0.4641,                0.48888,                0.29416,                 2.6481,                 0.5503,                0.06314,                 0.0001,                 0.0001,                 0.0001
                     54,                 3.0988,                0.48568,                0.11642,                 0.6183,                  0.466,                0.49066,                0.29531,                 2.6462,                0.54978,                0.06285,                 0.0001,                 0.0001,                 0.0001
                     55,                 3.0934,                 0.4873,                0.11297,                0.61708,                0.47099,                0.49225,                0.29668,                 2.6446,                0.54991,                0.06271,                 0.0001,                 0.0001,                 0.0001
                     56,                 3.1005,                0.48381,                0.11489,                0.61583,                0.46985,                0.49165,                0.29655,                 2.6423,                0.55077,                0.06236,                 0.0001,                 0.0001,                 0.0001
                     57,                 3.0911,                 0.4835,                0.11498,                0.61644,                0.47123,                0.49259,                0.29674,                 2.6412,                0.55037,                0.06224,                 0.0001,                 0.0001,                 0.0001
                     58,                 3.0825,                0.48599,                0.11056,                0.61423,                0.47237,                0.49291,                0.29776,                 2.6399,                0.54985,                  0.062,                 0.0001,                 0.0001,                 0.0001
                     59,                 3.0898,                0.48308,                0.11614,                0.61429,                0.47523,                0.49308,                0.29796,                 2.6391,                0.54961,                0.06184,                 0.0001,                 0.0001,                 0.0001
                     60,                 3.0902,                0.48411,                0.11204,                0.61234,                0.47774,                 0.4945,                0.29913,                 2.6379,                0.54919,                0.06157,                 0.0001,                 0.0001,                 0.0001
                     61,                 3.0831,                0.48514,                0.11313,                 0.6182,                0.47805,                0.49712,                0.30097,                 2.6374,                0.54877,                0.06163,                 0.0001,                 0.0001,                 0.0001
                     62,                 3.0739,                0.48401,                0.11303,                0.62197,                  0.478,                0.49806,                 0.3017,                 2.6371,                0.54849,                0.06178,                 0.0001,                 0.0001,                 0.0001
                     63,                 3.0953,                0.48116,                0.11578,                0.62163,                0.48001,                0.50046,                0.30385,                 2.6355,                0.54871,                0.06151,                 0.0001,                 0.0001,                 0.0001
                     64,                 3.1022,                0.48444,                0.11445,                0.62286,                0.47931,                0.50171,                0.30483,                 2.6346,                0.54831,                0.06137,                 0.0001,                 0.0001,                 0.0001
                     65,                 3.0646,                0.48282,                0.11123,                0.62444,                0.48106,                 0.5026,                 0.3055,                 2.6619,                0.54891,                0.06144,                 0.0001,                 0.0001,                 0.0001
                     66,                 3.0653,                0.48544,                0.11044,                0.62424,                0.48452,                0.50501,                0.30667,                 2.6613,                0.54809,                0.06154,                 0.0001,                 0.0001,                 0.0001
                     67,                 3.0412,                0.48539,                0.10762,                0.62444,                0.48337,                0.50516,                0.30701,                 2.6606,                0.54748,                0.06136,                 0.0001,                 0.0001,                 0.0001
                     68,                 3.0486,                0.48462,                0.10965,                0.62295,                0.48297,                0.50461,                0.30662,                 2.6595,                0.54784,                0.06119,                 0.0001,                 0.0001,                 0.0001
                     69,                 3.0627,                0.48505,                 0.1098,                0.62282,                0.48531,                 0.5065,                 0.3081,                 2.6584,                0.54775,                0.06105,                 0.0001,                 0.0001,                 0.0001
                     70,                 3.0341,                0.48559,                0.10609,                0.62231,                0.48622,                 0.5067,                0.30829,                 2.6578,                 0.5473,                 0.0611,                 0.0001,                 0.0001,                 0.0001
                     71,                 3.0596,                0.48248,                0.11281,                0.62186,                0.48686,                0.50628,                0.30807,                  2.657,                0.54773,                 0.0609,                 0.0001,                 0.0001,                 0.0001
                     72,                 3.0511,                0.48475,                0.10861,                 0.6207,                  0.487,                 0.5065,                0.30867,                 2.6852,                0.54745,                0.06088,                 0.0001,                 0.0001,                 0.0001
                     73,                 3.0475,                0.48184,                0.10716,                0.62679,                0.48579,                0.50821,                0.31013,                  2.685,                0.54657,                 0.0608,                 0.0001,                 0.0001,                 0.0001
                     74,                 3.0631,                0.48237,                0.11098,                0.62374,                0.48823,                0.50995,                0.31155,                 2.6843,                0.54695,                0.06088,                 0.0001,                 0.0001,                 0.0001
                     75,                 3.0558,                0.48419,                0.10778,                0.62708,                0.48664,                0.51038,                 0.3118,                 2.6838,                0.54697,                0.06068,                 0.0001,                 0.0001,                 0.0001
                     76,                 3.0415,                0.48324,                 0.1094,                 0.6248,                0.49053,                0.51084,                0.31243,                 2.6827,                0.54734,                0.06058,                 0.0001,                 0.0001,                 0.0001
                     77,                 3.0459,                0.48452,                 0.1076,                0.62698,                0.48814,                0.51011,                0.31163,                 2.6824,                0.54731,                0.06053,                 0.0001,                 0.0001,                 0.0001
